timestamp,mode,episode,state,action,reward,cpu_usage_pct,mem_usage_mb,latency_ms,error_rate_pct,cpu_limit_applied,mem_limit_applied,baseline_cpu_pct,baseline_mem_mb,baseline_latency_ms
2026-04-05T14:40:38.880796,train,1,0|0|0|0,0,-0.3063,1.87,40.73,107.13,0.0000,1.00,256,1.38,37.91,18.32
2026-04-05T14:40:54.009300,train,2,0|0|1|0,6,-0.2892,1.64,40.21,92.97,0.0000,0.95,240,1.41,38.22,18.81
2026-04-05T14:41:09.189607,train,3,0|0|0|0,1,-0.2924,1.74,40.58,53.88,0.0000,1.00,240,1.47,38.20,18.95
2026-04-05T14:41:24.342964,train,4,0|0|0|0,2,-0.2837,1.66,40.08,38.48,0.0000,0.95,240,1.51,38.28,19.58
2026-04-05T14:41:39.574831,train,5,0|0|0|0,4,-0.2744,1.72,40.47,16.91,0.0000,0.95,224,1.54,38.24,19.57
2026-04-05T14:41:54.751676,train,6,0|0|0|0,6,-0.2610,1.72,41.09,18.18,0.0000,0.90,208,1.58,38.26,19.82
2026-04-05T14:42:09.954636,train,7,0|0|0|0,8,-0.2325,1.70,40.35,21.42,0.0000,0.80,176,1.61,38.30,19.38
2026-04-05T14:42:25.062271,train,8,0|1|0|0,6,-0.2188,1.73,40.72,20.36,0.0000,0.75,160,1.58,38.42,18.52
2026-04-05T14:42:40.171949,train,9,0|1|0|0,0,-0.2177,1.62,40.23,19.93,0.0000,0.75,160,1.55,38.50,17.51
2026-04-05T14:42:55.375824,train,10,0|1|0|0,2,-0.2115,1.60,40.62,18.04,0.0000,0.70,160,1.52,38.62,17.47
2026-04-05T14:43:10.524046,train,11,0|1|0|0,6,-0.1976,1.66,40.27,18.87,0.0000,0.65,144,1.49,38.81,17.27
2026-04-05T14:43:25.726557,train,12,0|1|0|0,4,-0.1914,1.77,40.64,26.62,0.0000,0.65,128,1.48,38.83,17.71
2026-04-05T14:43:40.923539,train,13,0|1|0|0,8,-0.1642,1.81,41.26,27.69,0.0000,0.55,96,1.47,38.85,18.19
2026-04-05T14:43:56.021105,train,14,0|2|0|0,0,-0.1637,1.86,40.52,26.75,0.0000,0.55,96,1.44,38.75,17.95
2026-04-05T14:44:11.130938,train,15,0|2|0|0,2,-0.1577,1.82,41.09,26.31,0.0000,0.50,96,1.46,38.85,17.18
